Sequence_ID,label_pretty
CWU_MYC_MS_416,MZ044047-Lamproderma zotopulchellum
CWU_MYC_MS_414_a,MZ044045-Lamproderma zotopulchellum
CWU_MYC_MS_403,MZ044046-Lamproderma zotopulchellum
CWU_MYC_MS_371,MZ044048-Lamproderma zotopulchellum
CWU_MYC_MS_410,MZ044049-Lamproderma zotopulchellum
CWU_MYC_MS_408,MZ044052-Lamproderma zotopulchellum
sc30181,MZ044058-Lamproderma maculatum
sc30141,MZ044065-Lamproderma maculatum
CWU_MYC_MS_400,MZ044059-Lamproderma maculatum
LE285289,MZ044085-Lamproderma sauteri
LE296590,MZ044064-Lamproderma sauteri
LE296610,MZ044084-Lamproderma sauteri
sc30680,MZ044060-Lamproderma pseudomaculatum
CWU_MYC_MS_414_b,MZ044054-Lamproderma pseudomaculatum
CWU_MYC_MS_372,MZ044055-Lamproderma pseudomaculatum
CWU_MYC_MS_404,MZ044053-Lamproderma pseudomaculatum
MYX14325,MZ044057-Lamproderma pseudomaculatum
sc31016,MZ044067-Lamproderma echinosporum
sc30572,MZ044068-Lamproderma echinosporum
CWU_MYC_MS_401,MZ044056-Lamproderma echinosporum
LE325782,MZ044080-Diachea leucopodia
LE328364,MZ044081-Diachea leucopodia
LE325164,MZ044078-Diachea subsessilis
MYX14316,MZ044079-Diachea subsessilis
JF431067,JF431067-Lamproderma columbinum
JF431068,JF431068-Lamproderma columbinum
LE325825,MZ044076-Lamproderma columbinum
JF431069,JF431069-Lamproderma columbinum
JF431070,JF431070-Lamproderma puncticulatum
JF431072,JF431072-Lamproderma puncticulatum
LE285808,MZ044069-Lamproderma arcyrioides
LE317258,MZ044071-Lamproderma arcyrioides
LE317280,MZ044072-Lamproderma arcyrioides
MYX8864,MZ044073-Lamproderma arcyrioides
LE285866,MZ044082-Lamproderma pulveratum
LE289859,MZ044074-Lamproderma pulveratum
LE289944,MZ044077-Lamproderma pulveratum
LE289960,MZ044083-Lamproderma pulveratum
LE296868,MZ044075-Lamproderma pulveratum
MYX8389,MZ044070-Lamproderma pulveratum
LE285189,MZ044066-Lamproderma ovoideum
LE285219,MZ044062-Lamproderma ovoideum
LE296605,MZ044063-Lamproderma ovoideum
YK2635,MZ044061-Lamproderma ovoideum
LE296598,MZ202138-Lamproderma album
LE316547,MZ202139-Lamproderma album
LE316550,MZ202140-Lamproderma album
MM35985,MH46096-Meriderma carestiae
MYX328,MK555303-Meriderma fuscatum
sc29089,MZ044050-Lamproderma pulchellum
LE303030,MZ044051-Lamproderma zotopulchellum
LE316534,MZ044044-Lamproderma zotopulchellum
